Column1,fromLine,toLine,valid,url,acronym,title,loctime,tdtitle,volname,editors,submittedBy,published,year,pubDate,number,urn,archive,desc,h1,volume_number,ceurpubdate,voltitle,homepage,h3,colocated,vol_number
730,67956,67982,1,http://ceur-ws.org/Vol-731/,The CAiSE Doctoral Consortium 2011,Proceedings of the CAiSE Doctoral Consortium 2011,"London, United Kingdom, June 21, 2011","Proceedings of the CAiSE Doctoral Consortium 2011, London, United Kingdom, June 21, 2011.",CAiSE Doctoral Consortium 2011,"Cornelia Boldyreff, Shareeful Islam, Michel Leonard, Bernhard Thalheim",Shareeful Islam,2011/6/10,2011,2011/6/10 0:00,731,urn:nbn:de:0074-731-7,http://sunsite.informatik.rwth-aachen.de/ftp/pub/publications/CEUR-WS/Vol-731.zip,?,The CAiSE Doctoral Consortium 2011,Vol-731,,The CAiSE Doctoral Consortium 2011,,Proceedings of the CAiSE Doctoral Consortium 2011,,
731,67930,67953,1,http://ceur-ws.org/Vol-732/,PALE-2011,Proceedings of the International Workshop on Personalization Approaches in Learning Environments,"Girona, Spain, July 15, 2011","Proceedings of the International Workshop on Personalization Approaches in Learning Environments (PALE-2011), Girona, Spain, July 15, 2011.",Personalization Approaches in Learning Environments 2011,"Diana Perez-Marin, Milos Kravcik, Olga C. Santos",Diana Perez-Marin,2011/6/10,2011,2011/6/10 0:00,732,urn:nbn:de:0074-732-1,http://sunsite.informatik.rwth-aachen.de/ftp/pub/publications/CEUR-WS/Vol-732.zip,?,PALE-2011 Personalization Approaches in Learning Environments,Vol-732,,Personalization Approaches in Learning Environments,http://adenu.ia.uned.es/workshops/pale2011/,Proceedings of the International Workshop on Personalization Approaches in Learning Environments,,
732,67904,67927,1,http://ceur-ws.org/Vol-733/,GvD-2011,"Proceedings of the 23rd GI-Workshop ""Grundlagen von Datenbanken 2011""","Obergurgl, Austria, May 31 - June 03, 2011","Proceedings of the 23rd GI-Workshop ""Grundlagen von Datenbanken 2011"" (GvD-2011), Obergurgl, Austria, May 31 - June 03, 2011.",Grundlagen von Datenbanken 2011,"Wolfgang Gassler, Eva Zangerle, Guenther Specht",Wolfgang Gassler,2011/6/13,2011,2011/6/13 0:00,733,urn:nbn:de:0074-733-4,http://sunsite.informatik.rwth-aachen.de/ftp/pub/publications/CEUR-WS/Vol-733.zip,?,GvD-2011 Grundlagen von Datenbanken 2011,Vol-733,,Grundlagen von Datenbanken 2011,http://dbis-informatik.uibk.ac.at/gvd2011,"Proceedings of the 23rd GI-Workshop ""Grundlagen von Datenbanken 2011""",,
733,67871,67900,1,http://ceur-ws.org/Vol-734/,CAiSE Forum-2011,Proceedings of the CAiSE Forum 2011,"London, UK, June 22-24, 2011","Proceedings of the CAiSE'11 Forum at the 23rd International Conference on Advanced Information Systems Engineering, London, UK, June 22-24, 2011.",CAiSE Forum 2011,Selmin Nurcan,Selmin Nurcan,2011/6/14,2011,2011/6/14 0:00,734,urn:nbn:de:0074-734-7,http://sunsite.informatik.rwth-aachen.de/ftp/pub/publications/CEUR-WS/Vol-734.zip,?,CAiSE Forum-2011,Vol-734,,CAiSE Forum-2011,http://www.caise2011.com/forum.php,Proceedings of the CAiSE Forum 2011,,
734,67842,67868,1,http://ceur-ws.org/Vol-735/,SYRCoDIS 2011,Proceedings of the Seventh Spring Researchers Colloquium on Databases and Information Systems,"Moscow, Russia, June 2-3, 2011","Proceedings of the Seventh Spring Researchers Colloquium on Databases and Information Systems (SYRCoDIS 2011), Moscow, Russia, June 2-3, 2011.",Spring Researchers Colloquium on Databases and Information Systems 2011,"Denis Turdakov, Andrey Simanovsky",Denis Turdakov,2011/6/15,2011,2011/6/15 0:00,735,urn:nbn:de:0074-735-1,http://sunsite.informatik.rwth-aachen.de/ftp/pub/publications/CEUR-WS/Vol-735.zip,?,SYRCoDIS 2011 Spring Researchers Colloquium on Databases and Information Systems 2011,Vol-735,,Spring Researchers Colloquium on Databases and Information Systems 2011,http://syrcodis.ispras.ru/2011,Proceedings of the Seventh Spring Researchers Colloquium on Databases and Information Systems,,
735,67816,67839,1,http://ceur-ws.org/Vol-736/,HPCSW 2011,Proceedings of the 1st Workshop on High-Performance Computing for the Semantic Web (HPCSW2011),"Heraklion, Greece, May 29, 2011","Proceedings of the 1st Workshop on High-Performance Computing for the Semantic Web (HPCSW2011), Heraklion, Greece, May 29, 2011.",High-Performance Computing for the Semantic Web 2011,"Jesse Weaver, Spyros Kotoulas, Jacopo Urbani, Eric Goodman, David Mizell",Jesse Weaver,2011/6/17,2011,2011/6/17 0:00,736,urn:nbn:de:0074-736-4,http://sunsite.informatik.rwth-aachen.de/ftp/pub/publications/CEUR-WS/Vol-736.zip,?,HPCSW 2011 High-Performance Computing for the Semantic Web 2011,Vol-736,,High-Performance Computing for the Semantic Web 2011,http://tw.rpi.edu/hpcsw2011/,Proceedings of the 1st Workshop on High-Performance Computing for the Semantic Web (HPCSW2011),,
736,67790,67813,1,http://ceur-ws.org/Vol-737/,RED-2011,Proceedings of the Fourth International Workshop on REsource Discovery (RED 2011),"Heraklion, Greece, May 30, 2011","Proceedings of the 4th International Workshop on REsource Discovery (RED 2011), Heraklion, Greece, May 30, 2011.",Workshop on REsource Discovery 2011,"Maria-Esther Vidal, Edna Ruckhaus, Zoè Lacroix",Maria-Esther Vidal,2011/6/19,2011,2011/6/19 0:00,737,urn:nbn:de:0074-737-8,http://sunsite.informatik.rwth-aachen.de/ftp/pub/publications/CEUR-WS/Vol-737.zip,?,RED-2011 Workshop on REsource Discovery 2011,Vol-737,,Workshop on REsource Discovery 2011,http://www.ldc.usb.ve/RED2011,Proceedings of the Fourth International Workshop on REsource Discovery (RED 2011),,
737,67764,67787,1,http://ceur-ws.org/Vol-738/,Logic-based Interpretation of Context: Modelling and Applications,Proceedings of the 2nd Workshop on Logic-based Interpretation of Context: Modelling and Applications,"Vancouver, Canada, May 16, 2011","Proceedings of the 2nd Workshop on Logic-based Interpretation of Context: Modelling and Applications, Vancouver, Canada, May 16, 2011.",Logic-based Interpretation of Context: Modelling and Applications 2011,"Alessandra Mileo, Michael Fink",Michael Fink,2011/6/23,2011,2011/6/23 0:00,738,urn:nbn:de:0074-738-1,http://sunsite.informatik.rwth-aachen.de/ftp/pub/publications/CEUR-WS/Vol-738.zip,?,Logic-based Interpretation of Context: Modelling and Applications,Vol-738,,Logic-based Interpretation of Context: Modelling and Applications,,Proceedings of the 2nd Workshop on Logic-based Interpretation of Context: Modelling and Applications,,
738,67738,67761,1,http://ceur-ws.org/Vol-739/,OKCon 2011,Proceedings of the 6th Open Knowledge Conference,"Berlin, Germany, June 30 & July 1, 2011","Proceedings of the 6th Open Knowledge Conference (OKCon 2011), Berlin, Germany, June 30 & July 1, 2011.",Open Knowledge Conference 2011,"Sebastian Hellmann, Philipp Frischmuth, Sören Auer, Daniel Dietrich",Philipp Frischmuth,2011/6/24,2011,2011/6/24 0:00,739,urn:nbn:de:0074-739-9,http://sunsite.informatik.rwth-aachen.de/ftp/pub/publications/CEUR-WS/Vol-739.zip,?,OKCon 2011 Open Knowledge Conference,Vol-739,,Open Knowledge Conference,http://okcon.org/2011,Proceedings of the 6th Open Knowledge Conference,,
739,67711,67735,1,http://ceur-ws.org/Vol-740/,The UMAP 2011 Workshops - DEMRA 2011 and UMMS 2011: Decision Making and Recommendation Acceptance Issues in Recommender Systems User Models for Motivational Systems: The affective and the rational routes to persuasion,Joint Proceedings of the Workshop on Decision Making and Recommendation Acceptance Issues in Recommender Systems (DEMRA 2011) and the 2nd Workshop on User Models for Motivational Systems: The affective and the rational routes to persuasion (UMMS 2011),"Girona, Spain, July 11, 2011","Joint Proceedings of the Workshop on Decision Making and Recommendation Acceptance Issues in Recommender Systems (DEMRA 2011) and the 2nd Workshop on User Models for Motivational Systems: The affective and the rational routes to persuasion (UMMS 2011), workshops at the 19th International Conference on User Modeling, Adaptation and Personalization (UMAP 2011), Girona, Spain, July 11, 2011.",The UMAP 2011 Workshops - DEMRA 2011 and UMMS 2011,"Francesco Ricci, Giovanni Semeraro, Marco de Gemmis, Pasquale Lops, Judith Masthoff, Floriana Grasso, Jaap Ham",Pasquale Lops,2011/6/24,2011,2011/6/24 0:00,740,urn:nbn:de:0074-740-7,http://sunsite.informatik.rwth-aachen.de/ftp/pub/publications/CEUR-WS/Vol-740.zip,?,The UMAP 2011 Workshops - DEMRA 2011 and UMMS 2011: Decision Making and Recommendation Acceptance Issues in Recommender Systems User Models for Motivational Systems: The affective and the rational routes to persuasion,Vol-740,,The UMAP 2011 Workshops - DEMRA 2011 and UMMS 2011,,Joint Proceedings of the Workshop on Decision Making and Recommendation Acceptance Issues in Recommender Systems (DEMRA 2011) and the 2nd Workshop on User Models for Motivational Systems: The affective and the rational routes to persuasion (UMMS 2011),,
740,67684,67708,1,http://ceur-ws.org/Vol-741/,WOA-2011,Proceedings of the 12th Workshop on Objects and Agents,"Rende (CS), Italy, Jul 4-6, 2011","Proceedings of the 12th Workshop on Objects and Agents (WOA-2011), Rende (CS), Italy, July 4-6, 2011.",Workshop on Objects and Agents 2011,"Giancarlo Fortino, Alfredo Garro, Luigi Palopoli, Wilma Russo, Giandomenico Spezzano","Giancarlo Fortino, Alfredo Garro, Luigi Palopoli, Wilma Russo, Giandomenico Spezzano",2011/6/27,2011,2011/6/27 0:00,741,urn:nbn:de:0074-741-0,http://sunsite.informatik.rwth-aachen.de/ftp/pub/publications/CEUR-WS/Vol-741.zip,?,WOA-2011 12th Workshop on Objects and Agents,Vol-741,,12th Workshop on Objects and Agents,http://lisdip.deis.unical.it/workshops/woa2011/,Proceedings of the 12th Workshop on Objects and Agents,,
741,67658,67681,1,http://ceur-ws.org/Vol-742/,MtATL-2011,Proceedings of the 3rd International Workshop on Model Transformation with ATL,"Zürich, Switzerland, July 1st, 2011","Proceedings of the 3rd International Workshop on Model Transformation with ATL (MtATL-2011), Zürich, Switzerland, July 1st, 2011.",Model Transformation with ATL 2011,"Ivan Kurtev, Massimo Tisi, Dennis Wagelaar",Massimo Tisi,2011/6/27,2011,2011/6/27 0:00,742,urn:nbn:de:0074-742-4,http://sunsite.informatik.rwth-aachen.de/ftp/pub/publications/CEUR-WS/Vol-742.zip,?,MtATL-2011 Workshop on Model Transformation with ATL,Vol-742,,Workshop on Model Transformation with ATL,http://www.emn.fr/z-info/atlanmod/index.php/MtATL2011,Proceedings of the 3rd International Workshop on Model Transformation with ATL,,
742,67632,67655,1,http://ceur-ws.org/Vol-743/,ASTC 2011,Proceedings of the International Workshop on Adaptive Support for Team Collaboration 2011,"Girona, Spain, July 15, 2011","Proceedings of the International Workshop on Adaptive Support for Team Collaboration 2011 (ASTC 2011), Girona, Spain, July 15, 2011.",Adaptive Support for Team Collaboration 2011,"Alexandros Paramythis, Lydia Lau, Stavros Demetriadis, Manolis Tzagarakis, Styliani Kleanthous",Alexandros Paramythis,2011/6/28,2011,2011/6/28 0:00,743,urn:nbn:de:0074-743-7,http://sunsite.informatik.rwth-aachen.de/ftp/pub/publications/CEUR-WS/Vol-743.zip,?,ASTC 2011 Adaptive Support for Team Collaboration 2011,Vol-743,,Adaptive Support for Team Collaboration 2011,http://astc2011.ascolla.org/,Proceedings of the International Workshop on Adaptive Support for Team Collaboration 2011,,
743,67606,67629,1,http://ceur-ws.org/Vol-744/,LOUHI 2011,Proceedings of LOUHI 2011 Third International Workshop on Health Document Text Mining and Information Analysis,"Bled, Slovenia, July 6, 2011","Proceedings of LOUHI 2011 Third International Workshop on Health Document Text Mining and Information Analysis Bled, Slovenia, July 6, 2011.",Health Document Text Mining and Information Analysis 2011,"Øystein Nytrø, Laura Slaughter, Hans Moen",Hans Moen,2011/8/17,2010,2011/8/17 0:00,744,urn:nbn:de:0074-744-1,http://sunsite.informatik.rwth-aachen.de/ftp/pub/publications/CEUR-WS/Vol-744.zip,?,LOUHI 2011 Health Document Text Mining and Information Analysis 2011,Vol-744,17-Aug-11,Health Document Text Mining and Information Analysis 2011,https://sites.google.com/site/louhi2011/,Proceedings of LOUHI 2011 Third International Workshop on Health Document Text Mining and Information Analysis,,
744,67567,67603,1,http://ceur-ws.org/Vol-745/,Proceedings of the,Proceedings of the,"Barcelona, Spain, July 13-16, 2011","Proceedings of the 24th International Workshop on Description Logics (DL-2011), Barcelona, Spain, July 13-16, 2011.",Description Logics 2011,"Riccardo Rosati, Sebastian Rudolph, Michael Zakharyaschev","Sebastian Rudolph, Michael Zakharyaschev",2011/6/30,2011,2011/6/30 0:00,745,urn:nbn:de:0074-745-4,http://sunsite.informatik.rwth-aachen.de/ftp/pub/publications/CEUR-WS/Vol-745.zip,?,Proceedings of the,Vol-745,,2011 International Workshop onDescription Logics,,Riccardo Rosati * Sebastian Rudolph ** Michael Zakharyaschev ***,,
745,67541,67564,1,http://ceur-ws.org/Vol-746/,IWSECO-2011,Proceedings of the Third International Workshop on Software Ecosystems,"Brussels, Belgium, June 7th, 2011","Proceedings of the 3rd International Workshop on Software Ecosystems (IWSECO-2011), Brussels, Belgium, June 7th, 2011.",Software Ecosystems 2011,"Slinger Jansen, Jan Bosch, Piers Campbell, Faheem Ahmed",Slinger Jansen,2011/7/1,2011,2011/7/1 0:00,746,urn:nbn:de:0074-746-8,http://sunsite.informatik.rwth-aachen.de/ftp/pub/publications/CEUR-WS/Vol-746.zip,?,IWSECO-2011 Software Ecosystems 2011,Vol-746,,Software Ecosystems 2011,http://www.softwareecosystems.org/workshop/,Proceedings of the Third International Workshop on Software Ecosystems,,
746,67515,67538,1,http://ceur-ws.org/Vol-747/,SEMAIS 2011,Proceedings of the 2nd Workshop on Semantic Models for Adaptive Interactive Systems,"Palo Alto, CA, USA, February 13, 2011","Proceedings of the 2nd Workshop on Semantic Models for Adaptive Interactive Systems (SEMAIS 2011), Palo Alto, CA, USA, February 13, 2011.",Semantic Models for Adaptive Interactive Systems 2011,"Tim Hussein, Stephan Lukosch, Heiko Paulheim, Jürgen Ziegler, Gaëlle Calvary",Tim Hussein,2011/7/5,2011,2011/7/5 0:00,747,urn:nbn:de:0074-747-1,http://sunsite.informatik.rwth-aachen.de/ftp/pub/publications/CEUR-WS/Vol-747.zip,?,SEMAIS 2011 Semantic Models for Adaptive Interactive Systems 2011,Vol-747,,Semantic Models for Adaptive Interactive Systems 2011,http://2011.semais.org,Proceedings of the 2nd Workshop on Semantic Models for Adaptive Interactive Systems,,
747,67489,67512,1,http://ceur-ws.org/Vol-748/,OSEMA 2011,Proceedings of the 1st International Workshop on Ontology and Semantic Web for Manufacturing,"Heraklion, Crete, Greece, May 29, 2011","Proceedings of the 1st International Workshop on Ontology and Semantic Web for Manufacturing (OSEMA 2011), Heraklion, Crete, Greece, May 29, 2011.",Ontology and Semantic Web for Manufacturing 2011,"Alexander García, Carlos Toro, Luis Ramos, Lutz Schröder",Luis Ramos,2011/7/4,2011,2011/7/4 0:00,748,urn:nbn:de:0074-748-5,http://sunsite.informatik.rwth-aachen.de/ftp/pub/publications/CEUR-WS/Vol-748.zip,?,OSEMA 2011 Ontology and Semantic Web for Manufacturing 2011,Vol-748,,Ontology and Semantic Web for Manufacturing 2011,http://www.osema.org.ve/,Proceedings of the 1st International Workshop on Ontology and Semantic Web for Manufacturing,,
748,67462,67486,1,http://ceur-ws.org/Vol-749/,AMW2011,Proceedings of the 5th Alberto Mendelzon International Workshop on Foundations of Data Management,"Santiago, Chile, May 9-12, 2011","Proceedings of the 5th Alberto Mendelzon International Workshop on Foundations of Data Management (AMW2011), Santiago, Chile, May 9-12, 2011.",Alberto Mendelzon International Workshop on Foundations of Data Management 2011,"Pablo Barceló, Val Tannen",Pablo Barceló,2011/7/5,2011,2011/7/5 0:00,749,urn:nbn:de:0074-749-2,http://sunsite.informatik.rwth-aachen.de/ftp/pub/publications/CEUR-WS/Vol-749.zip,?,AMW2011 Alberto Mendelzon International Workshop on Foundations of Data Management,Vol-749,,Alberto Mendelzon International Workshop on Foundations of Data Management,http://db.ing.puc.cl/amw2011/,Proceedings of the 5th Alberto Mendelzon International Workshop on Foundations of Data Management,,
749,67436,67459,1,http://ceur-ws.org/Vol-750/,YRS-2011,Proceedings of the 1st Young Researcher Symposium by Center for Mathematical and Computational Modelling (CM)² (YRS2011),"Kaiserslautern, Germany, February 15, 2011","Proceedings of the 1st Young Researcher Symposium by Center for Mathematical and Computational Modelling (YRS-2011), Kaiserslautern, Germany, February 15, 2011.",(CM)² Young Researcher Symposium 2011,"Frank Balle, Nicole Marheineke, Frank Kienle, Karsten Schmidt, Nicole Tschauder",Karsten Schmidt,2011/7/7,2011,2011/7/7 0:00,750,urn:nbn:de:0074-750-0,http://sunsite.informatik.rwth-aachen.de/ftp/pub/publications/CEUR-WS/Vol-750.zip,?,YRS-2011 1st (CM)² Young Researcher Symposium 2011,Vol-750,,1st (CM)² Young Researcher Symposium 2011,http://cmcm.uni-kl.de/?id=yrs2011,Proceedings of the 1st Young Researcher Symposium by Center for Mathematical and Computational Modelling (CM)² (YRS2011),,
750,67410,67433,1,http://ceur-ws.org/Vol-751/,RAOM-2011,Proceedings of the Workshop on Reasoning About Other Minds: Logical and Cognitive Perspectives,"Groningen, The Netherlands, July 11th, 2011","Proceedings of the Workshop on Reasoning About Other Minds: Logical and Cognitive Perspectives (RAOM-2011), Groningen, The Netherlands, July 11th, 2011.",Reasoning About Other Minds 2011,"Jan van Eijck, Rineke Verbrugge",Jan van Eijck,2011/7/7,2011,2011/7/7 0:00,751,urn:nbn:de:0074-751-4,http://sunsite.informatik.rwth-aachen.de/ftp/pub/publications/CEUR-WS/Vol-751.zip,?,RAOM-2011 Reasoning About Other Minds: Logical and Cognitive Perspectives,Vol-751,,Reasoning About Other Minds: Logical and Cognitive Perspectives,http://www.ai.rug.nl/conf/reasoningminds/,Proceedings of the Workshop on Reasoning About Other Minds: Logical and Cognitive Perspectives,,
751,67384,67407,1,http://ceur-ws.org/Vol-752/,WASA 2011,Proceedings of the Workshop on Applications of Software Agents,"Novi Sad, Serbia, July 3-5, 2011","Proceedings of the Workshop on Applications of Software Agents (WASA-2011), Novi Sad, Serbia, July 3-5, 2011.",Workshop on Applications of Software Agents 2011,"Mirjana Ivanovic, Maria Ganzha, Marcin Paprzycki, Costin Badica",Mirjana Ivanovic,2011/7/11,2011,2011/7/11 0:00,752,urn:nbn:de:0074-752-7,http://sunsite.informatik.rwth-aachen.de/ftp/pub/publications/CEUR-WS/Vol-752.zip,?,WASA 2011 Workshop on Applications of Software Agents,Vol-752,,Workshop on Applications of Software Agents,http://perun.pmf.uns.ac.rs/events/wsagents/,Proceedings of the Workshop on Applications of Software Agents,,
752,67358,67381,1,http://ceur-ws.org/Vol-753/,CUBIST WS11,Proceedings of the 1st CUBIST (Combining and Uniting Business Intelligence with Semantic Technologies) Workshop 2011,"Derby, UK, July 26, 2011","Proceedings of the 1st CUBIST (Combining and Uniting Business Intelligence with Semantic Technologies) Workshop, Derby, UK, July 26, 2011.",CUBIST Workshop 2011,Frithjof Dau,Frithjof Dau,2011/7/14,2011,2011/7/14 0:00,753,urn:nbn:de:0074-753-1,http://sunsite.informatik.rwth-aachen.de/ftp/pub/publications/CEUR-WS/Vol-753.zip,?,First CUBIST Workshop (CUBIST WS11),Vol-753,,First CUBIST Workshop,http://www.derby.ac.uk/computing/iccs2011/workshops/cubist/,Proceedings of the 1st CUBIST (Combining and Uniting Business Intelligence with Semantic Technologies) Workshop 2011,,
753,67330,67355,1,http://ceur-ws.org/Vol-754/,KR-MED 2010,"Proceedings of the 4th International Workshop on Formal Biomedical Knowledge Representation, hosted by Bio-Ontologies 2010","Boston, MA, USA, July 9-10, 2010","Proceedings of the 4th International Workshop on Formal Biomedical Knowledge Representation (KR-MED 2010), Boston, MA, USA, July 9-10, 2010.",Semantic Applications in Life Sciences 2010,"Ronald Cornet, Stefan Schulz",Ronald Cornet,2011/7/22,2010,2011/7/22 0:00,754,urn:nbn:de:0074-754-4,http://sunsite.informatik.rwth-aachen.de/ftp/pub/publications/CEUR-WS/Vol-754.zip,?,KR-MED 2010 Semantic Applications in Life Sciences,Vol-754,,Semantic Applications in Life Sciences,http://www.kr-med.org/2010,"Proceedings of the 4th International Workshop on Formal Biomedical Knowledge Representation, hosted by Bio-Ontologies 2010",,
754,67303,67327,1,http://ceur-ws.org/Vol-755/,ConfWS 2011,Proceedings of the IJCAI 2011 Workshop on Configuration,"Barcelona, Spain, July 16, 2011","Proceedings of the Workshop on Configuration, held in conjunction with the 22nd International Joint Conference on Artificial Intelligence - IJCAI 2011, Barcelona, Spain, July 16, 2011.",IJCAI 2011 Workshop on Configuration,"Kostyantyn Shchekotykhin, Dietmar Jannach, Markus Zanker",Dietmar Jannach,2011/7/24,2011,2011/7/24 0:00,755,urn:nbn:de:0074-755-8,http://sunsite.informatik.rwth-aachen.de/ftp/pub/publications/CEUR-WS/Vol-755.zip,?,ConfWS 2011 IJCAI 2011 Workshop on Configuration,Vol-755,,IJCAI 2011 Workshop on Configuration,http://ls13-www.cs.uni-dortmund.de/homepage/confws11/index.shtml,Proceedings of the IJCAI 2011 Workshop on Configuration,,
755,67276,67300,1,http://ceur-ws.org/Vol-756/,ITWP'11,Proceedings of the 9th Workshop on Intelligent Techniques for Web Personalization & Recommender Systems,"Barcelona, Spain, July 16, 2011","Proceedings of the 9th Workshop on Intelligent Techniques for Web Personalization & Recommender Systems (ITWP'11), Barcelona, Spain, July 16, 2011.",Intelligent Techniques for Web Personalization & Recommender Systems 2011,"Sarabjot Singh Anand, Dietmar Jannach, Bamshad Mobasher, Alfred Kobsa",Dietmar Jannach,2011/7/24,2010,2011/7/24 0:00,756,urn:nbn:de:0074-756-1,http://sunsite.informatik.rwth-aachen.de/ftp/pub/publications/CEUR-WS/Vol-756.zip,?,ITWP'11 Intelligent Techniques for Web Personalization & Recommender Systems,Vol-756,,Intelligent Techniques for Web Personalization & Recommender Systems,http://ls13-www.cs.uni-dortmund.de/homepage/itwp2011/index.shtml,Proceedings of the 9th Workshop on Intelligent Techniques for Web Personalization & Recommender Systems,,
756,67250,67273,1,http://ceur-ws.org/Vol-757/,CDUD 2011,Proceedings of the International Workshop on Concept Discovery in Unstructured Data (CDUD 2011),"Moscow, Russia, June 25, 2011","Proceedings of the International Workshop on Concept Discovery in Unstructured Data (CDUD 2011), Moscow, Russia, June 25, 2011.",Concept Discovery in Unstructured Data 2011,"Dmitry I. Ignatov, Sergei O. Kuznetsov, Jonas Poelmans",Dmitry Ignatov,2011/7/24,2011,2011/7/24 0:00,757,urn:nbn:de:0074-757-4,http://sunsite.informatik.rwth-aachen.de/ftp/pub/publications/CEUR-WS/Vol-757.zip,?,CDUD 2011 Concept Discovery in Unstructured Data 2011,Vol-757,,Concept Discovery in Unstructured Data 2011,http://rsfdgrc.hse.ru/cdud,Proceedings of the International Workshop on Concept Discovery in Unstructured Data (CDUD 2011),,
757,67224,67247,1,http://ceur-ws.org/Vol-758/,SCAKD 2011,Proceedings of the International Workshop on Soft Computing Applications and Knowledge Discovery (SCAKD 2011),"Moscow, Russia, June 25, 2011","Proceedings of the International Workshop on Soft Computing Applications and Knowledge Discovery (SCAKD 2011), Moscow, Russia, June 25, 2011.",Soft Computing Applications and Knowledge Discovery 2011,"Alexey N. Averkin, Dmitry I. Ignatov, Sushmita Mitra, Jonas Poelmans, Valery B. Tarasov",Dmitry Ignatov,2011/7/25,2011,2011/7/25 0:00,758,urn:nbn:de:0074-758-8,http://sunsite.informatik.rwth-aachen.de/ftp/pub/publications/CEUR-WS/Vol-758.zip,?,SCAKD 2011 Soft Computing Applications and Knowledge Discovery 2011,Vol-758,,Soft Computing Applications and Knowledge Discovery 2011,http://premi11.hse.ru/scakd,Proceedings of the International Workshop on Soft Computing Applications and Knowledge Discovery (SCAKD 2011),,
758,67197,67220,1,http://ceur-ws.org/Vol-759/,COSLI-2011,Proceedings of the Workshop on Computational Models of Spatial Language Interpretation and Generation in conjunction with CogSci 2011,"Boston, USA, July 20, 2011","Proceedings of the Workshop on Computational Models of Spatial Language Interpretation and Generation (COSLI-2011), Boston, USA, July 20, 2011.",Computational Models of Spatial Language Interpretation and Generation 2011,"Joana Hois, Robert J. Ross, John D. Kelleher, John A. Bateman",Joana Hois,2011/7/28,2011,2011/7/28 0:00,759,urn:nbn:de:0074-759-6,http://sunsite.informatik.rwth-aachen.de/ftp/pub/publications/CEUR-WS/Vol-759.zip,?,COSLI-2011 Computational Models of Spatial Language Interpretation and Generation,Vol-759,,Computational Models of Spatial Language Interpretation and Generation,http://cosli.org/,Proceedings of the Workshop on Computational Models of Spatial Language Interpretation and Generation in conjunction with CogSci 2011,,
759,67171,67194,1,http://ceur-ws.org/Vol-760/,ATE-2011,Proceedings of the First Workshop on Automated Theory Engineering,"Wrocław, Poland, July 31, 2011","Proceedings of the First Workshop on Automated Theory Engineering (ATE-2011), Wrocław, Poland, July 31, 2011.",Automated Theory Engineering 2011,"Peter Höfner, Annabelle McIver, Georg Struth",Peter Höfner,2011/7/28,2011,2011/7/28 0:00,760,urn:nbn:de:0074-760-4,http://sunsite.informatik.rwth-aachen.de/ftp/pub/publications/CEUR-WS/Vol-760.zip,?,ATE-2011 Automated Theory Engineering,Vol-760,,Automated Theory Engineering,http://www.nicta.com.au/people/phoefner/ate,Proceedings of the First Workshop on Automated Theory Engineering,,
760,67145,67168,1,http://ceur-ws.org/Vol-761/,DDIExtraction 2011,Proceedings of the 1st Challenge Task on Drug-Drug Interaction Extraction 2011,"Huelva, Spain, September 7, 2011","Proceedings of the 1st Challenge Task on Drug-Drug Interaction Extraction 2011, Huelva, Spain, September 7, 2011.",First Challenge Task on Drug-Drug Interaction Extraction 2011,"Isabel Segura-Bedmar, Paloma Martinez, Daniel Sanchez-Cisneros",Daniel Sanchez-Cisneros,2011/7/28,2011,2011/7/28 0:00,761,urn:nbn:de:0074-761-7,http://sunsite.informatik.rwth-aachen.de/ftp/pub/publications/CEUR-WS/Vol-761.zip,?,DDIExtraction 2011 First Challenge Task on Drug-Drug Interaction Extraction 2011,Vol-761,,First Challenge Task on Drug-Drug Interaction Extraction 2011,http://labda.inf.uc3m.es/DDIExtraction2011/,Proceedings of the 1st Challenge Task on Drug-Drug Interaction Extraction 2011,,
761,67119,67142,1,http://ceur-ws.org/Vol-762/,DiversiWeb-2011,Proceedings of the 1st International Workshop on Knowledge Diversity on the Web (DiversiWeb 2011),"Hyderabad, India, March 28, 2011","Proceedings of the 1st International Workshop on Knowledge Diversity on the Web (DiversiWeb 2011), Hyderabad, India, March 28, 2011.",Knowledge Diversity on the Web 2011,"Elena Simperl, Devika P. Madalli, Denny Vrandecic, Enrique Alfonseca","Denny Vrandecic, Anja Bunnefeld",2011/8/1,2011,2011/8/1 0:00,762,urn:nbn:de:0074-762-1,http://sunsite.informatik.rwth-aachen.de/ftp/pub/publications/CEUR-WS/Vol-762.zip,?,DiversiWeb-2011 Knowledge Diversity on the Web,Vol-762,1-Aug-11,Knowledge Diversity on the Web,http://render-project.eu/diversiweb-2011/,Proceedings of the 1st International Workshop on Knowledge Diversity on the Web (DiversiWeb 2011),,
