Column1,vol_url,vol_number,volname,acronym,coloc_conf,ceur_long_title,voltitle,h1,tdtitle,title,loctime,workshop,workshopLabel,ref_url,ShortName,countryLabel,cityLabel,StartTime,EndTime,ProceedingsTitle,Vol_Number.1,Year,dblp_url
784,http://ceur-ws.org/Vol-779/,779,"Detection, Representation, and Exploitation of Events in the Semantic Web 2011",DeRiVE 2011,,"Proceedings of the Workhop on Detection, Representation, and Exploitation of Events in the Semantic Web (DeRiVE 2011)","Detection, Representation, and Exploitation of Events in the Semantic Web","DeRiVE 2011 Detection, Representation, and Exploitation of Events in the Semantic Web","Proceedings of the Workshop on Detection, Representation, and Exploitation of Events in the Semantic Web (DeRiVE 2011), Bonn, Germany, October 23, 2011.","Proceedings of the Workhop on Detection, Representation, and Exploitation of Events in the Semantic Web (DeRiVE 2011)","Bonn, Germany, October 23, 2011",http://www.wikidata.org/entity/Q113659377,"Workhop on Detection, Representation, and Exploitation of Events in the Semantic Web (DeRiVE 2011)",http://ceur-ws.org/Vol-779/,DeRiVE 2011,Germany,Bonn,2011/10/23 2:00,2011/10/23 2:00,"Proceedings of the Workhop on Detection, Representation, and Exploitation of Events in the Semantic Web (DeRiVE 2011), Bonn, Germany, October 23, 2011.",779,2011,https://dblp.org/db/conf/semweb/derive2011.html
785,http://ceur-ws.org/Vol-780/,780,Cognitive Engineering for Mobile GIS 2011,CEMob2011,,Proceedings of the Workshop on Cognitive Engineering for Mobile GIS,Cognitive Engineering for Mobile GIS 2011,CEMob2011 Cognitive Engineering for Mobile GIS 2011,"Proceedings of the Workshop on Cognitive Engineering for Mobile GIS (CEMob2011), Belfast, Maine, USA, September 12, 2011.",Proceedings of the Workshop on Cognitive Engineering for Mobile GIS,"Belfast, Maine, USA, September 12, 2011",http://www.wikidata.org/entity/Q113659378,Workshop on Cognitive Engineering for Mobile GIS,http://ceur-ws.org/Vol-780/,CEMob2011,United Kingdom,Belfast,2011/9/12 2:00,2011/9/12 2:00,,,,
786,http://ceur-ws.org/Vol-781/,781,Semantic Personalized Information Management: Retrieval and Recommendation 2011,SPIM2011,,Proceedings of the second Workshop on Semantic Personalized Information Management: Retrieval and Recommendation 2011,Semantic Personalized Information Management: Retrieval and Recommendation 2011,SPIM2011 Semantic Personalized Information Management: Retrieval and Recommendation 2011,"Proceedings of the second Workshop on Semantic Personalized Information Management: Retrieval and Recommendation (SPIM2011), Bonn, Germany, October 24, 2011.",Proceedings of the second Workshop on Semantic Personalized Information Management: Retrieval and Recommendation 2011,"Bonn, Germany, October 24, 2011",http://www.wikidata.org/entity/Q113659379,second Workshop on Semantic Personalized Information Management: Retrieval and Recommendation 2011,http://ceur-ws.org/Vol-781/,SPIM2011,Germany,Bonn,2011/10/24 2:00,2011/10/24 2:00,"Proceedings of the second Workshop on Semantic Personalized Information Management: Retrieval and Recommendation 2011, Bonn, Germany, October 24, 2011.",781,2011,https://dblp.org/db/conf/semweb/spim2011.html
787,http://ceur-ws.org/Vol-782/,782,Consuming Linked Data 2011,COLD2011,,Proceedings of the Second International Workshop on Consuming Linked Data (COLD2011),Consuming Linked Data 2011,COLD2011 Consuming Linked Data 2011,"Proceedings of the 2nd International Workshop on Consuming Linked Data (COLD2011), Bonn, Germany, October 23, 2011.",Proceedings of the Second International Workshop on Consuming Linked Data (COLD2011),"Bonn, Germany, October 23, 2011",http://www.wikidata.org/entity/Q113659380,Second International Workshop on Consuming Linked Data (COLD2011),http://ceur-ws.org/Vol-782/,COLD2011,Germany,Bonn,2011/10/23 2:00,2011/10/23 2:00,"Proceedings of the Second International Workshop on Consuming Linked Data (COLD2011), Bonn, Germany, October 23, 2011.",782,2011,https://dblp.org/db/conf/semweb/cold2011.html
788,http://ceur-ws.org/Vol-783/,783,Linked Science 2011,LISC2011,,Proceedings of the First International Workshop on Linked Science 2011,Linked Science 2011,LISC2011 Linked Science 2011,"Proceedings of the First International Workshop on Linked Science 2011 (LISC2011), Bonn, Germany, October 24, 2011.",Proceedings of the First International Workshop on Linked Science 2011,"Bonn, Germany, October 24, 2011",http://www.wikidata.org/entity/Q113659381,First International Workshop on Linked Science 2011,http://ceur-ws.org/Vol-783/,LISC2011,Germany,Bonn,2011/10/24 2:00,2011/10/24 2:00,"Proceedings of the First International Workshop on Linked Science 2011, Bonn, Germany, October 24, 2011.",783,2011,https://dblp.org/db/conf/semweb/lisc2011.html
789,http://ceur-ws.org/Vol-784/,784,Knowledge Evolution and Ontology Dynamics 2011,EvoDyn 2011,Joint workshops,Proceedings of the Joint Workshop on Knowledge Evolution and Ontology Dynamics,Knowledge Evolution and Ontology Dynamics,EvoDyn 2011 Knowledge Evolution and Ontology Dynamics,"Proceedings of the Joint Workshop on Knowledge Evolution and Ontology Dynamics (EvoDyn 2011), Bonn, Germany, October 24, 2011.",Proceedings of the Joint Workshop on Knowledge Evolution and Ontology Dynamics,"Bonn, Germany, October 24, 2011",http://www.wikidata.org/entity/Q113659384,Joint Workshop on Knowledge Evolution and Ontology Dynamics,http://ceur-ws.org/Vol-784/,EvoDyn 2011,Germany,Bonn,2011/10/24 2:00,2011/10/24 2:00,,,,
790,http://ceur-ws.org/Vol-785/,785,Experiences and Empirical Studies in Software Modelling 2011,EESSMod 2011,,Proceedings of the First Workshop on Experiences and Empirical Studies in Software Modelling,Experiences and Empirical Studies in Software Modelling 2011,EESSMod 2011 Experiences and Empirical Studies in Software Modelling 2011,"Proceedings of the First Workshop on Experiences and Empirical Studies in Software Modelling (EESSMod 2011), Wellington, New Zealand, October 17, 2011.",Proceedings of the First Workshop on Experiences and Empirical Studies in Software Modelling,"Wellington, New Zealand, October 17, 2011",http://www.wikidata.org/entity/Q113659385,First Workshop on Experiences and Empirical Studies in Software Modelling,http://ceur-ws.org/Vol-785/,EESSMod 2011,New Zealand,Wellington,2011/10/17 2:00,2011/10/17 2:00,"Proceedings of the First Workshop on Experiences and Empirical Studies in Software Modelling, Wellington, New Zealand, October 17, 2011.",785,2011,https://dblp.org/db/conf/models/eessmod2011.html
791,http://ceur-ws.org/Vol-786/,786,Context Aware Intelligent Assistance 2011,CAIA 2011,,Proceedings of the 2nd Workshop on Context Aware Intelligent Assistance,Context Aware Intelligent Assistance 2011,CAIA 2011 Context Aware Intelligent Assistance 2011,"Proceedings of the 2nd Workshop on Context Aware Intelligent Assistance (CAIA 2011), Berlin, Germany, October 4, 2011.",Proceedings of the 2nd Workshop on Context Aware Intelligent Assistance,"Berlin, Germany, October 4, 2011",http://www.wikidata.org/entity/Q113659386,2nd Workshop on Context Aware Intelligent Assistance,http://ceur-ws.org/Vol-786/,CAIA 2011,Germany,Berlin,2011/10/4 2:00,2011/10/4 2:00,,,,
792,http://ceur-ws.org/Vol-787/,787,Model-based Interactive Ubiquitous Systems 2011,Modiquitous 2011,,Proceedings of the 1st International Workshop on Model-based Interactive Ubiquitous Systems 2011,Model-based Interactive Ubiquitous Systems 2011,Modiquitous 2011 Model-based Interactive Ubiquitous Systems 2011,"Proceedings of the 1st International Workshop on Model-based Interactive Ubiquitous Systems 2011 (Modiquitous 2011), Pisa, Italy, June 13, 2011.",Proceedings of the 1st International Workshop on Model-based Interactive Ubiquitous Systems 2011,"Pisa, Italy, June 13, 2011",http://www.wikidata.org/entity/Q113659388,1st International Workshop on Model-based Interactive Ubiquitous Systems 2011,http://ceur-ws.org/Vol-787/,Modiquitous 2011,Italy,Pisa,2011/6/13 2:00,2011/6/13 2:00,,,,
793,http://ceur-ws.org/Vol-788/,788,Information Technologies - Applications and Theory 2011,ITAT-2011,proceedings of conference,Proceedings of the Conference on Theory and Practice of Information Technologies,Information Technologies - Applications and Theory 2011,ITAT-2011 Information Technologies - Applications and Theory 2011,"Proceedings of the Conference on Theory and Practice of Information Technologies (ITAT-2011), Vrátna dolina, Slovak Republic, September 23-27, 2011.",Proceedings of the Conference on Theory and Practice of Information Technologies,"Vrátna dolina, Slovak Republic, September 23-27, 2011",,,,,,,,,"Proceedings of the Conference on Theory and Practice of Information Technologies, Vrátna Dolina, Slovak Republic, September 23-27, 2011.",788,2011,https://dblp.org/db/conf/itat/itat2011.html
794,http://ceur-ws.org/Vol-789/,789,Advances in Databases and Information Systems - Research Communications 2011,ADBIS 2011,proceedings of conference,Proceedings II of the 15th East-European Conference on Advances in Databases and Information Systems,Research Communications,ADBIS 2011 Research Communications,"Proceedings II of the 15th East-European Conference on Advances in Databases and Information Systems (ADBIS 2011), Vienna, Austria, September 20 - 23, 2011.",Proceedings II of the 15th East-European Conference on Advances in Databases and Information Systems,"Vienna, Austria, September 20 - 23, 2011",,,,,,,,,"ADBIS 2011, Research Communications, Proceedings II of the 15th East-European Conference on Advances in Databases and Information Systems, September 20-23, 2011, Vienna, Austria.",789,2011,https://dblp.org/db/conf/adbis/adbis2011-2.html
795,http://ceur-ws.org/Vol-790/,790,Awareness and Reflection in Learning Networks 2011,ARNets11,,Proceedings of the 1st European Workshop on Awareness and Reflection in Learning Networks,Awareness and Reflection in Learning Networks,ARNets11 Awareness and Reflection in Learning Networks,"Proceedings of the 1st European Workshop on Awareness and Reflection in Learning Networks (ARNets11), Palermo, Italy, September 21, 2011.",Proceedings of the 1st European Workshop on Awareness and Reflection in Learning Networks,"Palermo, Italy, September 21, 2011",http://www.wikidata.org/entity/Q113659392,1st European Workshop on Awareness and Reflection in Learning Networks,http://ceur-ws.org/Vol-790/,ARNets11,Italy,Palermo,2011/9/21 2:00,2011/9/21 2:00,,,,
796,http://ceur-ws.org/Vol-791/,791,Context-Aware Recommender Systems 2011,CARS'11,,Proceedings of the 3rd Workshop on Context-Aware Recommender Systems,Context-Aware Recommender Systems 2011,CARS'11 Context-Aware Recommender Systems 2011,"Proceedings of the 3rd Workshop on Context-Aware Recommender Systems (CARS'11), Chicago, IL, USA, October 23, 2011.",Proceedings of the 3rd Workshop on Context-Aware Recommender Systems,"Chicago, IL, USA, October 23, 2011",http://www.wikidata.org/entity/Q113659393,3rd Workshop on Context-Aware Recommender Systems,http://ceur-ws.org/Vol-791/,CARS'11,United States of America,Chicago,2011/10/23 2:00,2011/10/23 2:00,,,,
797,http://ceur-ws.org/Vol-792/,792,Accessible Design in the Digital World 2011,ADDW-2011,,Proceedings of the Workshop on Accessible Design in the Digital World 2011,Accessible Design in the Digital World 2011,ADDW-2011 Accessible Design in the Digital World 2011,"Proceedings of the Workshop on Accessible Design in the Digital World 2011 (ADDW-2011), Lisbon, Portugal, September 5, 2011.",Proceedings of the Workshop on Accessible Design in the Digital World 2011,"Lisbon, Portugal, September 5, 2011",http://www.wikidata.org/entity/Q113659394,Workshop on Accessible Design in the Digital World 2011,http://ceur-ws.org/Vol-792/,ADDW-2011,Portugal,Lisbon,2011/9/5 2:00,2011/9/5 2:00,,,,
798,http://ceur-ws.org/Vol-793/,793,Music Recommendation and Discovery 2011,WOMRAD 2011,,Proceedings of the Workshop on Music Recommendation and Discovery 2011,Music Recommendation and Discovery 2011,WOMRAD 2011 Music Recommendation and Discovery 2011,"Proceedings of the Workshop on Music Recommendation and Discovery (WOMRAD 2011), Chicago, IL, USA, October 23, 2011.",Proceedings of the Workshop on Music Recommendation and Discovery 2011,"Chicago, IL, USA, October 23, 2011",http://www.wikidata.org/entity/Q113659395,Workshop on Music Recommendation and Discovery 2011,http://ceur-ws.org/Vol-793/,WOMRAD 2011,United States of America,Chicago,2011/10/23 2:00,2011/10/23 2:00,,,,
799,http://ceur-ws.org/Vol-794/,794,Models@run.time 2011,MRT-2011,ACM/IEEE 14th International Conference on Model Driven Engineering Languages and Systems (MODELS 2011),Proceedings of the 6th International Workshop on Models@run.time at the ACM/IEEE 14th International Conference on Model Driven Engineering Languages and Systems (MODELS 2011),Models@run.time 2011,MRT-2011 Models@run.time 2011,"Proceedings of the 6th International Workshop on Models@run.time at the ACM/IEEE 14th International Conference on Model Driven Engineering Languages and Systems (MODELS 2011), Wellington, New Zealand, October 17, 2011.",Proceedings of the 6th International Workshop on Models@run.time at the ACM/IEEE 14th International Conference on Model Driven Engineering Languages and Systems,"Wellington, New Zealand, October 17, 2011",http://www.wikidata.org/entity/Q113659396,6th International Workshop on Models@run.time at the ACM/IEEE 14th International Conference on Model Driven Engineering Languages and Systems,http://ceur-ws.org/Vol-794/,MRT-2011,New Zealand,Wellington,2011/10/17 2:00,2011/10/17 2:00,,,,
800,http://ceur-ws.org/Vol-795/,795,Model Based Architecting and Construction of Embedded Systems 2011,ACES-MB-2011,MoDELS'11,"Proceedings of the Fourth International Workshop on Model Based Architecting and Construction of Embedded Systems (ACES-MB 2011), held as part of the 2011 International Conference on Model Driven Engineering Languages and Systems (MoDELS'11)",Model Based Architecting and Construction of Embedded Systems,ACES-MB-2011 Model Based Architecting and Construction of Embedded Systems,"Proceedings of the 4th International Workshop on Model Based Architecting and Construction of Embedded Systems (ACES-MB 2011), Wellington, New Zealand, October 18, 2011.",Proceedings of the Fourth International Workshop on Model Based Architecting and Construction of Embedded Systems,"Wellington, New Zealand, October 18, 2011",http://www.wikidata.org/entity/Q113659397,Fourth International Workshop on Model Based Architecting and Construction of Embedded Systems,http://ceur-ws.org/Vol-795/,ACES-MB-2011,New Zealand,Wellington,2011/10/18 2:00,2011/10/18 2:00,,,,
801,http://ceur-ws.org/Vol-796/,796,OWL: Experiences and Directions 2011,OWLED 2011,,Proceedings of the 8th International Workshop on OWL: Experiences and Directions (OWLED 2011),OWL: Experiences and Directions,OWLED 2011 OWL: Experiences and Directions,"Proceedings of the 8th International Workshop on OWL: Experiences and Directions (OWLED 2011), San Francisco, California, USA, June 5-6, 2011.",Proceedings of the 8th International Workshop on OWL: Experiences and Directions (OWLED 2011),"San Francisco, California, USA, June 5-6, 2011",http://www.wikidata.org/entity/Q113659399,8th International Workshop on OWL: Experiences and Directions (OWLED 2011),http://ceur-ws.org/Vol-796/,OWLED 2011,United States of America,San Francisco,2011/6/5 2:00,2011/6/6 2:00,"Proceedings of the 8th International Workshop on OWL: Experiences and Directions (OWLED 2011), San Francisco, California, USA, June 5-6, 2011.",796,2011,https://dblp.org/db/conf/owled/owled2011.html
802,http://ceur-ws.org/Vol-797/,797,Workshop sobre Aspectos da Interação Humano-Computador para a Web Social 2011,WAIHCWS'11,,Anais do III Workshop sobre Aspectos da Interação Humano-Computador para a Web Social - 2011,Workshop sobre Aspectos da Interação Humano-Computador para a Web Social - 2011,WAIHCWS'11 Workshop sobre Aspectos da Interação Humano-Computador para a Web Social - 2011,"Anais do III Workshop sobre Aspectos da Interação Humano-Computador para a Web Social (WAIHCWS'11), Porto de Galinhas, Pernambuco, Brasil, October 25, 2011.",Anais do III Workshop sobre Aspectos da Interação Humano-Computador para a Web Social - 2011,"Porto de Galinhas, Pernambuco, Brasil, October 25, 2011",http://www.wikidata.org/entity/Q113659401,III Workshop sobre Aspectos da Interação Humano-Computador para a Web Social - 2011,http://ceur-ws.org/Vol-797/,WAIHCWS'11,Brazil,Porto de Galinhas,2011/10/25 2:00,2011/10/25 2:00,,,,
803,http://ceur-ws.org/Vol-798/,798,Terra Cognita 2011,Terra Cognita 2011,,"Proceedings of the Terra Cognita Workshop on Foundations, Technologies and Applications of the Geospatial Web","Terra Cognita 2011: Foundations, Technologies and Applications of the Geospatial Web","Terra Cognita 2011 Terra Cognita 2011: Foundations, Technologies and Applications of the Geospatial Web","Proceedings of the Terra Cognita Workshop on Foundations, Technologies and Applications of the Geospatial Web, Bonn, Germany, October 23, 2011.","Proceedings of the Terra Cognita Workshop on Foundations, Technologies and Applications of the Geospatial Web","Bonn, Germany, October 23, 2011",http://www.wikidata.org/entity/Q113659579,"Terra Cognita Workshop on Foundations, Technologies and Applications of the Geospatial Web 2011",http://ceur-ws.org/Vol-798/,Terra Cognita 2011,Germany,Bonn,2011/10/23 2:00,2011/10/23 2:00,,,,
804,http://ceur-ws.org/Vol-799/,799,RuleML2011@BRF Challenge,RuleML2011@BRF Challenge,5th International Rule Symposium IRS,"Proceedings of the 5th International RuleML2011@BRF Challenge, co-located with the 5th International Rule Symposium",RuleML2011@BRF Challenge,RuleML2011@BRF Challenge,"Proceedings of the 5th International RuleML2011@BRF Challenge, co-located with the 5th International Rule Symposium, Fort Lauderdale, Florida, USA, November 3-5, 2011.","Proceedings of the 5th International RuleML2011@BRF Challenge, co-located with the 5th International Rule Symposium","Fort Lauderdale, Florida, USA, November 3-5, 2011",,,,,,,,,"Proceedings of the 5th International RuleML2011@BRF Challenge, co-located with the 5th International Rule Symposium, Fort Lauderdale, Florida, USA, November 3-5, 2011.",799,2011,https://dblp.org/db/conf/ruleml/ruleml2011-2.html
805,http://ceur-ws.org/Vol-800/,800,SIKS Conference on Enterprise Information Systems 2011,EIS 2011,6th SIKS Conference on Enterprise Information Systems,Proceedings of the 6th SIKS Conference on Enterprise Information Systems (EIS 2011),SIKS Conference on Enterprise Information Systems 2011,EIS 2011 SIKS Conference on Enterprise Information Systems 2011,"Proceedings of the 6th SIKS Conference on Enterprise Information Systems (EIS 2011), Delft, The Netherlands, October 31, 2011.",Proceedings of the 6th SIKS Conference on Enterprise Information Systems,"Delft, The Netherlands, October 31, 2011",,,,,,,,,"Proceedings of the 6th SIKS Conference on Enterprise Information Systems, EIS 2011, Delft, The Netherlands, October 31, 2011.",800,2011,https://dblp.org/db/conf/eis/eis2011.html
806,http://ceur-ws.org/Vol-801/,801,Semantic Digital Archives 2011,SDA 2011,,Proceedings of the 1st International Workshop on Semantic Digital Archives,Semantic Digital Archives,SDA 2011 Semantic Digital Archives,"Proceedings of the 1st International Workshop on Semantic Digital Archives (SDA 2011), Berlin, Germany, September 29, 2011.",Proceedings of the 1st International Workshop on Semantic Digital Archives,"Berlin, Germany, September 29, 2011",http://www.wikidata.org/entity/Q113656487,1st International Workshop on Semantic Digital Archives,http://ceur-ws.org/Vol-801/,SDA 2011,Germany,Berlin,2011/9/29 2:00,2011/9/29 2:00,"Proceedings of the 1st International Workshop on Semantic Digital Archives, Berlin, Germany, September 29, 2011.",801,2011,https://dblp.org/db/conf/ercimdl/sda2011.html
807,http://ceur-ws.org/Vol-802/,802,Czech and Slovak Knowledge Technology Conference 2011,Znalosti 2011,proceedings of conference,Selected papers from the 10th annual Czech and Slovak knowledge technology conference (Znalosti 2011),Czech and Slovak Knowledge Technology Conference,Znalosti 2011 Czech and Slovak Knowledge Technology Conference,"Selected papers from the 10th annual Czech and Slovak knowledge technology conference (Znalosti 2011), Stará Lesná, Vysoké Tatry, Slovakia, Jan 31 - Feb 2, 2011.",Selected papers from the 10th annual Czech and Slovak knowledge technology conference (Znalosti 2011),"Stará Lesná, Vysoké Tatry, Slovakia, Jan 31 - Feb 2, 2011",,,,,,,,,,,,
808,http://ceur-ws.org/Vol-803/,803,Russian Conference on Digital Libraries 2011,RCDL'2011,proceedings of conference,"Proceedings of the 13th All-Russian Scientific Conference ""Digital libraries: Advanced Methods and Technologies, Digital Collections""",Russian Conference on Digital Libraries 2011,RCDL'2011 Russian Conference on Digital Libraries 2011,"Proceedings of the 13th All-Russian Scientific Conference ""Digital libraries: Advanced Methods and Technologies, Digital Collections"" (RCDL'2011), Voronezh, Russia, October 19-22, 2011.","Proceedings of the 13th All-Russian Scientific Conference ""Digital libraries: Advanced Methods and Technologies, Digital Collections""","Voronezh, Russia, October 19-22, 2011",,,,,,,,,"Proceedings of the 13th All-Russian Scientific Conference ""Digital libraries: Advanced Methods and Technologies, Digital Collections"", RCDL 2011, Voronezh, Russia, October 19-22, 2011.",803,2011,https://dblp.org/db/conf/rcdl/rcdl2011.html
809,http://ceur-ws.org/Vol-804/,804,Latin American Workshop on Non-Monotonic Reasoning 2011,LANMR 2011,,Proceedings of the Seventh Latin American Workshop on Non-Monotonic Reasoning 2011,Latin American Workshop on Non-Monotonic Reasoning 2011,LANMR 2011 Latin American Workshop on Non-Monotonic Reasoning 2011,"Proceedings of the 7th Latin American Workshop on Non-Monotonic Reasoning 2011 (LANMR 2011), Toluca, Estado de México, México, November 7-8, 2011.",Proceedings of the Seventh Latin American Workshop on Non-Monotonic Reasoning 2011,"Toluca, Estado de México, México, November 7-8, 2011",http://www.wikidata.org/entity/Q113656491,Seventh Latin American Workshop on Non-Monotonic Reasoning 2011,http://ceur-ws.org/Vol-804/,LANMR 2011,Mexico,Toluca,2011/11/7 1:00,2011/11/8 1:00,,,,
810,http://ceur-ws.org/Vol-805/,805,Knowledge Engineering and Software Engineering 2011,KESE 7,CAEPIA 2011,Proceedings of 7th Workshop on Knowledge Engineering and Software Engineering (KESE7) at the 14th Conference of the Spanish Association for Artificial Intelligence (CAEPIA 2011),7th Workshop on Knowledge Engineering and Software Engineering,KESE 7 7th Workshop on Knowledge Engineering and Software Engineering,"Proceedings of the 7th Workshop on Knowledge Engineering and Software Engineering (KESE-2011), La Laguna, Tenerife, Spain, November 10, 2011.",Proceedings of 7th Workshop on Knowledge Engineering and Software Engineering (KESE7),"La Laguna, Tenerife, Spain, November 10, 2011",http://www.wikidata.org/entity/Q113656492,7th Workshop on Knowledge Engineering and Software Engineering (KESE7),http://ceur-ws.org/Vol-805/,KESE 7,Spain,San Cristóbal de La Laguna,2011/11/10 1:00,2011/11/10 1:00,,,,
811,http://ceur-ws.org/Vol-806/,806,The New Technologies for Aquileia 2011,NTA-2011,,Proceedings of the 1st Workshop,The New Technologies for Aquileia,NTA-2011 The New Technologies for Aquileia,"Proceedings of the 1st Workshop New Technologies for Aquileia (NTA-2011), Aquileia, Italy, May 2, 2011.",Proceedings of the 1st Workshop,"Aquileia, Italy, May 2, 2011",http://www.wikidata.org/entity/Q113656493,1st Workshop on The New Technologies for Aquileia,http://ceur-ws.org/Vol-806/,NTA 2011,Italy,Aquileia,2011/5/2 2:00,2011/5/2 2:00,"The New Technologies for Aquileia, Proceedings of the 1st Workshop, Aquileia, Italy, May 2, 2011.",806,2011,https://dblp.org/db/conf/aquileia/aquileia2011.html
812,http://ceur-ws.org/Vol-807/,807,Multimedia Benchmark Workshop 2011,MediaEval 2011,,Working Notes Proceedings of the MediaEval 2011 Workshop,Multimedia Benchmark Workshop,MediaEval 2011 Multimedia Benchmark Workshop,"Working Notes Proceedings of the MediaEval 2011 Workshop, Santa Croce in Fossabanda, Pisa, Italy, September 1-2, 2011.",Working Notes Proceedings of the MediaEval 2011 Workshop,"Santa Croce in Fossabanda, Pisa, Italy, September 1-2, 2011",http://www.wikidata.org/entity/Q113656494,MediaEval 2011 Workshop,http://ceur-ws.org/Vol-807/,MediaEval 2011,Italy,Pisa,2011/9/1 2:00,2011/9/2 2:00,"Working Notes Proceedings of the MediaEval 2011 Workshop, Santa Croce in Fossabanda, Pisa, Italy, September 1-2, 2011.",807,2011,https://dblp.org/db/conf/mediaeval/mediaeval2011.html
813,http://ceur-ws.org/Vol-808/,808,"Semantic Technologies for Intelligence, Defense, and Security 2011",STIDS 2011,proceedings of conference,"Proceedings of the Sixth International Conference on Semantic Technologies for Intelligence, Defense, and Security","Semantic Technologies for Intelligence, Defense, and Security","STIDS 2011 Semantic Technologies for Intelligence, Defense, and Security","Proceedings of the 6th International Conference on Semantic Technologies for Intelligence, Defense, and Security (STIDS 2011), Fairfax, VA, USA, November 16-17, 2011.","Proceedings of the Sixth International Conference on Semantic Technologies for Intelligence, Defense, and Security","Fairfax, VA, USA, November 16-17, 2011",,,,,,,,,"Proceedings of the Sixth International Conference on Semantic Technologies for Intelligence, Defense, and Security, Fairfax, VA, USA, November 16-17, 2011.",808,2011,https://dblp.org/db/conf/stids/stids2011.html
814,http://ceur-ws.org/Vol-809/,809,Ontologies Come of Age in the Semantic Web 2011,OCAS-2011,ISWC 2011,Proceedings of the ISWC 2011 Workshop Ontologies Come of Age in the Semantic Web (OCAS),Ontologies Come of Age in the Semantic Web,OCAS-2011 Ontologies Come of Age in the Semantic Web,"Proceedings of the ISWC 2011 Workshop Ontologies Come of Age in the Semantic Web (OCAS-2011), Bonn, Germany, October 24th, 2011.",Proceedings of the ISWC 2011 Workshop Ontologies Come of Age in the Semantic Web (OCAS),"Bonn, Germany, October 24th, 2011",http://www.wikidata.org/entity/Q113656495,ISWC 2011 Workshop Ontologies Come of Age in the Semantic Web (OCAS),http://ceur-ws.org/Vol-809/,OCAS-2011,Germany,Bonn,2011/10/24 2:00,2011/10/24 2:00,,,,
815,http://ceur-ws.org/Vol-810/,810,Italian Conference on Computational Logic 2011,CILC 2011,proceedings of conference,Proceedings of the 26th Italian Conference on Computational Logic,26th Italian Conference on Computational Logic,CILC 2011 26th Italian Conference on Computational Logic,"Proceedings of the 26th Italian Conference on Computational Logic (CILC-2011), Pescara, Italy, August 31 - September 2, 2011.",Proceedings of the 26th Italian Conference on Computational Logic,"Pescara, Italy, August 31 - September 2, 2011",,,,,,,,,"Proceedings of the 26th Italian Conference on Computational Logic, Pescara, Italy, August 31 - September 2, 2011.",810,2011,https://dblp.org/db/conf/cilc/cilc2011.html
816,http://ceur-ws.org/Vol-811/,811,The RecSys 2011 Workshops - Decisions@RecSys 2011 and UCERSTI-2,The RecSys 2011 Workshops - Decisions@RecSys 2011 and UCERSTI-2: Human Decision Making in Recommender Systems User-Centric Evaluation of Recommender Systems and Their Interfaces - 2,the 5th ACM Conference on Recommender Systems,Joint proceedings of the RecSys 2011 Workshop on Human Decision Making in Recommender Systems (Decisions@RecSys'11) and User-Centric Evaluation of Recommender Systems and Their Interfaces-2 (UCERSTI 2) affiliated with the 5th ACM Conference on Recommender Systems,The RecSys 2011 Workshops - Decisions@RecSys 2011 and UCERSTI-2,The RecSys 2011 Workshops - Decisions@RecSys 2011 and UCERSTI-2: Human Decision Making in Recommender Systems User-Centric Evaluation of Recommender Systems and Their Interfaces - 2,"Joint proceedings of the RecSys 2011 Workshop on Human Decision Making in Recommender Systems (Decisions@RecSys'11) and User-Centric Evaluation of Recommender Systems and Their Interfaces-2 (UCERSTI 2), affiliated with the 5th ACM Conference on Recommender Systems, Chicago, USA, October 23th and 26th, 2011.",Joint proceedings of the RecSys 2011 Workshop on Human Decision Making in Recommender Systems (Decisions@RecSys'11) and User-Centric Evaluation of Recommender Systems and Their Interfaces-2 (UCERSTI 2) affiliated with the 5th ACM Conference on Recommender Systems,"Chicago, USA, October 23th and 26th, 2011",http://www.wikidata.org/entity/Q113656610,Workshop on Human Decision Making in Recommender Systems (Decisions@RecSys'11),http://ceur-ws.org/Vol-811/,Decisions@RecSys'11,United States of America,Chicago,2011/10/23 2:00,2011/10/26 2:00,,,,
